code,manufacturer,description_ko,description_en,summary_ko,summary_en,tts_phrase
P1166,ACURA,뱅크 1의 센서 1 산소 센서 히터 회로 결함이 감지되었습니다.,HO2S11 Heater Circuit Fault Bank 1 Sensor 1,히터 회로 결함,HO2S11 Heater Circuit Fault Bank 1 Sensor 1,뱅크 1의 센서 1 산소 센서 히터 회로에 문제가 발생했습니다.
P1167,ACURA,뱅크 1 센서 1의 산소 센서 히터 회로에센서 전압 공급 이상이 발생했습니다.,HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1,히터 회로 결함,HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1,뱅크 1 센서 1의 산소 센서 히터 회로에센서 전압 공급 문제가 발생했습니다. 안전을 위해 주의하십시오.
P1168,ACURA,뱅크 1의 센서 1에센서 가열식 산소 센서 라벨 회로 전압이 낮은 결함이 발생했습니다.,HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1,가열식 산소 센서 결함,HO2S11 Label Circuit Low Voltage Fault Bank 1 Sens...,뱅크 1의 센서 1에센서 가열식 산소 센서 라벨 회로가 전압이 너무 낮아 오류가 발생했습니다. 주의하시기 바랍니다.
P1169,ACURA,뱅크 1 센서 1의 가열식 산소 센서 라벨 회로 고전압 결함이 발생했습니다.,HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1,고전압 결함,HO2S11 Label Circuit High Voltage Fault Bank 1 Sen...,뱅크 1의 센서 1에센서 가열식 산소 센서 라벨 회로가 고전압 문제를 보이고 있습니다.
P1201,ACURA,실린더 1 실화,Cylinder 1 Misfire,실린더 1 실화,Cylinder 1 Misfire,엔진의 첫 번째 실린더에센서 실화가 감지되었습니다.
P1202,ACURA,실린더 2에센서 실화(불발)가 발생했습니다.,Cylinder 2 Misfire,실린더 2 불발,Cylinder 2 Misfire,운전 중인 차량의 실린더 2에센서 실화 현상이 감지되었습니다. 주의하시기 바랍니다.
P1203,ACURA,실린더 3에센서 실화(불발)이 발생했습니다.,Cylinder 3 Misfire,실린더 3 실화,Cylinder 3 Misfire,엔진의 세 번째 실린더에센서 불발 문제가 감지되었습니다.
P1204,ACURA,실린더 4가 불발되었습니다.,Cylinder 4 Misfire,불발,Cylinder 4 Misfire,운전 중 실린더 4에센서 불발이 발생했습니다.
P1205,ACURA,실린더 5에센서 실화가 발생했습니다.,Cylinder 5 Misfire,실화,Cylinder 5 Misfire,운전 중입니다. 실린더 5에센서 실화가 감지되었습니다.
P1206,ACURA,실린더 6의 실화가 발생했습니다.,Cylinder 6 Misfire,실린더 6 미스파이어,Cylinder 6 Misfire,운전 중이시라면 실린더 6에센서 오작동이 감지되었습니다. 주의하시기 바랍니다.
P1241,ACURA,스로틀 벤텍 제어 모듈터 회로 1이 오작동했습니다.,Throttle Vent Control Motor Circuit 1 Malfunction,스로틀 벤텍 회로 오류,Throttle Vent Control Motor Circuit 1 Malfunction,스로틀 벤텍 제어 모듈터 회로 1이 이상을 보여 오작동하고 있습니다.
P1242,ACURA,스로틀 밸브 통풍 제어 모듈터 회로 2가 오작동했습니다.,Throttle Vent Control Motor Circuit 2 Malfunction,스로틀 오류,Throttle Vent Control Motor Circuit 2 Malfunction,스로틀 밸브 통풍 제어 모듈터의 두 번째 회로에센서 문제가 발생했습니다.
P1243,ACURA, throttle position sensor의 신호가 부족합니다.,Throttle Position Insufficient,throttle 부족,Throttle Position Insufficient,throttle 위치 센서의 출력이 충분하지 않습니다.
P1244,ACURA,공회로전 위치 부족,Closed Throttle Position Insufficient,부족,Closed Throttle Position Insufficient,공회로전 위치가 적절하지 않습니다.
P1246,ACURA,가속 페달 위치 센서 1 회로 오작동,Accelerator Position Sensor 1 Circuit Malfunction,가속 페달 문제,Accelerator Position Sensor 1 Circuit Malfunction,가속 페달 위치 센서 1의 작동이 이상하게 보입니다.
P1247,ACURA,가속 페달 위치 센서 2 회로 오작동,Accelerator Position Sensor 2 Circuit Malfunction,센서 이상,Accelerator Position Sensor 2 Circuit Malfunction,가속 페달 위치 센서 2의 문제가 발생했습니다.
P1248,ACURA,가속 페달 위치 센서 1과 2의 부적절한 상관관계,Accelerator Position Sensors 1 & 2 Improper Correlation,부적절한 상관관계,Accelerator Position Sensors 1 & 2 Improper Correl...,가속 페달 위치 센서 1과 2가 정상적으로 동작하지 않아요.
P1253,ACURA,VTEC 시스템 회로 결함,VTEC System Circuit Fault,VTEC System Fault,VTEC System Circuit Fault,운전 중이신가요? VTEC 시스템의 회로 결함이 감지되었습니다.
P1259,ACURA,뱅크 1 레어 측면의 VTEC 시스템이 오작동했습니다.,VTEC System Malfunction Rear Bank 1,VTEC 오류,VTEC System Malfunction Rear Bank 1,뱅크 1 뒷쪽의 VTEC 시스템이 이상 작동을 보입니다. 주의하십시오.
P1279,ACURA,뱅크 2 전방의 VTEC 시스템이 오작동했습니다.,VTEC System Malfunction Front Bank 2,VTEC 오류,VTEC System Malfunction Front Bank 2,"운전 중이시라면, 뱅크 2 전방의 VTEC 시스템이 오작동한 것을 확인하셨나요?"
P1297,ACURA,전기 부하 감지기 회로 입력값 낮음,ELD Circuit Low Input,입력 전압 낮음,ELD Circuit Low Input,전기 부하 감지기의 입력 전압이 정상 범위를 벗어났습니다.
P1298,ACURA,전기 부하 감지기 회로 고전압,Electrical Load Detector Circuit High Voltage,고전압,Electrical Load Detector Circuit High Voltage,전기 부하 감지기 회로의 전압이 높습니다.
P1300,ACURA,실린더의 불발이 무작위로 발생했습니다.,Random Misfire,무작위 불발,Random Misfire,운전 중 실린더에센서 무작위로 불발 현상이 감지되었습니다.
P1301,ACURA,실린더 1이 실화되었습니다.,Cylinder 1 Misfire,Cylinder 1 Misfire,Cylinder 1 Misfire,운전 중인 차량의 엔진에센서 실린더 1이 불발되었습니다.
P1302,ACURA,실린더 2에센서 실화(불발)이 발생했습니다.,Cylinder 2 Misfire,실린더 2 실화,Cylinder 2 Misfire,엔진의 두 번째 실린더에센서 불규칙한 연소가 감지되어 실화 오류가 나왔습니다.
P1303,ACURA,실린더 3에센서 실화(불발)이 발생했습니다.,Cylinder 3 Misfire,실린더 3 불발,Cylinder 3 Misfire,운전 중인 차량의 세 번째 실린더에센서 실화가 감지되었습니다. 주의하십시오.
P1304,ACURA,실린더 4에센서 실화(불발)가 발생했습니다.,Cylinder 4 Misfire,실린더 4 실화,Cylinder 4 Misfire,운전 중인 차량의 실린더 4에센서 실화 현상이 감지되었습니다. 주의하십시오.
P1305,ACURA,실린더 5 실화(불발) 오류,Cylinder 5 Misfire,실린더 5 실화,Cylinder 5 Misfire,실린더 5에센서 실화가 발생했습니다.
P1306,ACURA,실린더 6이 불발되었습니다.,Cylinder 6 Misfire,실린더 6 불발,Cylinder 6 Misfire,운전 중 실린더 6에센서 불발 문제가 발생했습니다.
P1316,ACURA,전방 뱅크의 점화 플러그 전압 검출 회로 오작동입니다.,Spark Plug Voltage Detection Circuit Malfunction Front Bank,점화플러그 전압오류,Spark Plug Voltage Detection Circuit Malfunction F...,전방 엔진 뱅크의 점화 플러그 전압 검출 회로가 정상 작동하지 않습니다. 주의가 필요합니다.
P1317,ACURA,뒷 뱅크의 점화 플러그 전압 검출 회로가 오작동합니다.,Spark Plug Voltage Detection Circuit Malfunction Rear Bank,점화 플러그 전압 문제,Spark Plug Voltage Detection Circuit Malfunction R...,뒷 엔진 뱅크의 점화 플러그 전압 검출 회로에 문제가 발생했습니다. 주의하시기 바랍니다.
P1318,ACURA,전방 뱅크의 스파크 플러그 전압 감지 모듈 리셋 회로가 오작동했습니다.,Spark Plug Voltage Detection Module Reset Circuit Malfunction Front Bank,스파크플러그 전압 오류,Spark Plug Voltage Detection Module Reset Circuit ...,"운전자님, 전방 엔진 뱅크의 스파크 플러그 전압을 감지하는 모듈 리셋 회로가 정상 작동하지 않습니다."
P1319,ACURA,뒷 뱅크의 스파크 플러그 전압 검출 모듈 리셋 회로가 오작동합니다.,Spark Plug Voltage Detection Module Reset Circuit Malfunction Rear Bank,스파크 플러그 전압 모듈니터링 오류,Spark Plug Voltage Detection Module Reset Circuit ...,뒷 뱅크의 스파크 플러그 전압 검출 모듈 리셋 회로가 이상이 발생했습니다. 주의하십시오.
P1324,ACURA,노크 센서 전원 회로 저전압,Knock Sensor Power Source Circuit Low Voltage,저전압,Knock Sensor Power Source Circuit Low Voltage,노크 센서의 전원 공급 회로에센서 전압이 낮게 측정되었습니다.
P1336,ACURA,CKP 센서 B 범위 성능 이상,CKP Sensor B Range Performance,CKP 센서 B 이상,CKP Sensor B Range Performance,CKP 센서 B의 범위와 성능이 정상 범위를 벗어났습니다.
P1337,ACURA,CKP 센서 B 입력값 낮음,CKP Sensor B Low Input,CKP B 낮음,CKP Sensor B Low Input,차량의 CKP 센서 B가 유닛효한 입력 값을 받지 못했습니다.
P1359,ACURA,CKP TDC 센서 커넥터 단선,CKP TDC Sensor Circuit Connector Disconnection,단선,CKP TDC Sensor Circuit Connector Disconnection,CKP TDC 센서의 커넥터가 단선되었습니다.
P1361,ACURA,TDC 센서의 간헐적 중단이 발생했습니다.,TDC Sensor Intermittent Interruption,간헐적 오류,TDC Sensor Intermittent Interruption,"운전 중인 동안 TDC 센서에센서 간헐적인 문제가 발생했어요, 주의하세요."
P1362,ACURA,TDC1 센서 신호 없음,TDC1 Sensor No Signal,신호없음,TDC1 Sensor No Signal,"운전기사님, TDC1 센서에센서 신호가 감지되지 않습니다."
P1366,ACURA,TDC2 센서가 간헐적으로 작동하고 있습니다.,TDC2 Sensor Intermittent,간헐적 문제,TDC2 Sensor Intermittent,"운전 중이시라면 주의하세요, TDC2 센서가 간헐적인 문제가 발생했습니다."
P1367,ACURA,TDC2 센서 신호 없음,TDC2 Sensor No Signal,센서 오류,TDC2 Sensor No Signal,"운전 중이시면 주의하세요, TDC2 센서에센서 신호가 감지되지 않습니다."
P1381,ACURA,CYPA 센서 간헐적 연결 끊김,CYP Sensor A Intermittent Interruption,CYPA 센서 이상,CYP Sensor A Intermittent Interruption,CYPA 센서에센서 간헐적으로 연결이 끊기고 있습니다.
P1382,ACURA,CYPA 센서 신호 감지 안 됨,CYP Sensor A No Signal,CYPA 오류,CYP Sensor A No Signal,CYPA 센서에센서 신호를 수신하지 못했습니다.
P1386,ACURA,CYP 센서 B가 간헐적으로 연결이 끊기는 현상이 발생했습니다.,CYP Sensor B Intermittent Interruption,센서 B 고장,CYP Sensor B Intermittent Interruption,운전 중 CYP 센서 B의 연결이 간헐적으로 끊기고 있습니다. 주의해 주세요.
P1387,ACURA,CYP 센서 B 신호 없음,CYP Sensor B No Signal,센서 오류,CYP Sensor B No Signal,CYP 센서 B에센서 신호가 감지되지 않습니다.
P1456,ACURA,증발 가스 배출 컨트롤러 시스템 누설이 연료 탱크 시스템에센서 감지되었습니다.,Evaporative Emission Control System Leak Detected Fuel Tank System,연료탱크 누설,Evaporative Emission Control System Leak Detected ...,증발 가스 배출 제어 시스템의 누설 문제를 확인했습니다. 이는 연료 탱크와 관련된 것입니다.
P1457,ACURA,증발 가스 배출 제어 시스템 누설이 감지되었습니다. 캐니스터 시스템과 관련된 문제입니다.,Evaporative Emission Control System Leak Detected Control Canister System,증발 누설,Evaporative Emission Control System Leak Detected ...,증발 가스 배출 제어 시스템에센서 누설이 감지되었습니다. 주의하셔야 합니다.
P1459,ACURA,증발 퍼지 유닛량 스위치 오작동입니다.,EVAP Purge Flow Switch Malfunction,증발 퍼지,EVAP Purge Flow Switch Malfunction,증발 퍼지 유닛량 스위치가 정상 작동하지 않아요.
P1491,ACURA,EGR 밸브 리프트가 부적절하게 낮음을 감지했습니다.,EGR Valve Lift Insufficient Detected,EGR 고장,EGR Valve Lift Insufficient Detected,운전 중이시라면 EGR 밸브의 리프트가 부적절하게 낮아졌다는 경고 메시지를 확인해 주세요.
P1498,ACURA,EGR 밸브 리프트 센서의 고전압 문제가 발생했습니다.,EGR Valve Lift Sensor High Voltage,EGR 벨브 고전압,EGR Valve Lift Sensor High Voltage,"운전 중이시라면, EGR 밸브 리프트 센서의 전압이 너무 높아 오류가 발생한 상황입니다. 주의하시기 바랍니다."
P1508,ACURA,IAC 밸브 회로 고장,IAC Valve Circuit Failure,IAC 밸브 고장,IAC Valve Circuit Failure,IAC 밸브의 작동이 정상적으로 이루어지지 않아 고장이 발생했습니다.
P1519,ACURA,IAC 밸브 회로 고장,IAC Valve Circuit Failure,밸브 고장,IAC Valve Circuit Failure,IAC 밸브의 작동이 중단되었습니다.
P1607,ACURA,엔진 제어 모듈 내부 회로 고장 알림 A,ECM Internal Circuit Failure A,ECM 내부 회로 고장,ECM Internal Circuit Failure A,운전 중이신가요? 엔진 제어 모듈의 내부 회로에센서 문제가 발생했습니다.
P1608,ACURA,엔진 제어 모듈 내부 회로 고장 알림 B,ECM Internal Circuit Failure B,ECM 고장,ECM Internal Circuit Failure B,엔진 제어 모듈(ECM)의 내부 회로가 고장났습니다.
P1655,ACURA,TMA 또는 TMB 신호 라인 결함입니다.,TMA Or TMB Signal Line Fault,신호라인 결함,TMA Or TMB Signal Line Fault,TMA 또는 TMB의 신호 라인이 이상이 발생했습니다.
P1656,ACURA,자동 변속기 시스템 오작동,Automatic Transmission System Malfunction,변속기 문제,Automatic Transmission System Malfunction,자동 변속기 시스템에센서 문제가 발생했습니다.
P1660,ACURA,변속기 연료 제어 데이터 라인 고장,A/T FI Data Line Failure,데이터 라인 고장,A/T FI Data Line Failure,자동 변속기의 연료 정보 전송 라인이 오작동하여 통신이 불가능합니다.
P1671,ACURA,자동변속기 연료 조절 신호 라인에센서 신호가 없습니다.,A/T FI Data Line No Signal,신호 없음,A/T FI Data Line No Signal,자동변속기 연료 정보 데이터 전송 라인에센서 신호가 감지되지 않습니다.
P1672,ACURA,변속기 연료 정보 데이터 라인 고장입니다.,A/T FI Data Line Failure,데이터 라인 고장,A/T FI Data Line Failure,자동 변속기의 연료 정보 데이터 전송 라인이 이상이 발생했습니다.
P1676,ACURA,트랙션 컨트롤러 시스템의 연료 조절 데이터 라인 신호가 없습니다.,Traction Control System FI Data Line No Signal,데이터 라인 오류,Traction Control System FI Data Line No Signal,트랙션 컨트롤러 시스템의 연료 조절 데이터 라인에센서 신호를 수신하지 못했습니다.
P1677,ACURA,트랙션 컨트롤러 시스템의 연료 조절 데이터 라인이 고장났습니다.,Traction Control System FI Data Line Failure,데이터 라인 고장,Traction Control System FI Data Line Failure,트랙션 컨트롤러 시스템의 연료 정보 전송이 실패했습니다.
P1678,ACURA,FPTDR 신호선 고장입니다.,FPTDR Signal Line Failure,신호 고장,FPTDR Signal Line Failure,FPTDR 신호가 전달되지 않는 문제가 발생했습니다.
P1681,ACURA,자동 변속기 연료 입력값이 낮음,A/T FI Signal A Low Input,연료 입력값 낮음,A/T FI Signal A Low Input,자동 변속기의 연료 신호 입력 값이 너무 낮습니다.
P1682,ACURA,변속기 연료 보정 신호 A 입력값이 높음,A/T FI Signal A High Input,입력값 높음,A/T FI Signal A High Input,변속기 연료 보정 신호 A의 입력값이 너무 높습니다.
P1686,ACURA,변속기 연료 인젝터 신호 B 입력값이 낮음,A/T FI Signal B Low Input,신호 B 입력값 낮음,A/T FI Signal B Low Input,변속기 연료 인젝터 신호 B의 입력값이 너무 낮습니다.
P1687,ACURA,AUTOMATIC TRANSMISSION 연료 혼합기 신호 B 입력값 높음,A/T FI Signal B High Input,신호 B 이상,A/T FI Signal B High Input,자동 변속기의 연료 혼합기 신호 B가 입력값이 너무 높습니다.
P1690,ACURA,트랙션 컨트롤러 시스템의 STB 라인 고장입니다.,Traction Control System STB Line Failure,STB 라인 고장,Traction Control System STB Line Failure,트랙션 컨트롤러 시스템에센서 STB 라인이 고장났습니다.
P1696,ACURA,트랙션 컨트롤러 연료 차단 신호 입력값 낮음,Traction Control Fuel Cut Signal Low Input,트랙션 컨트롤러 오류,Traction Control Fuel Cut Signal Low Input,트랙션 컨트롤러 시스템의 연료 차단 신호가 너무 낮게 나왔습니다.
P1697,ACURA,트랙션 컨트롤러 연료 차단 신호 입력값이 높습니다.,Traction Control Fuel Cut Signal High Input,연료 차단,Traction Control Fuel Cut Signal High Input,트랙션 컨트롤러 시스템의 연료 차단 신호가 높게 나타났어요. 주의하세요.
P1705,ACURA,TCM 자동 변속기 기어 위치 스위치 회로 단락됨,TCM A/T Gear Position Switch Circuit Shorted,TCM 기어 위치 스위치 단락,TCM A/T Gear Position Switch Circuit Shorted,TCM에센서 자동 변속기의 기어 위치를 감지하는 스위치의 회로가 단락되었습니다.
P1706,ACURA,TCM 자동 변속기 기어 위치 스위치 회로 단선이 발생했습니다.,TCM A/T Gear Position Switch Circuit Open,TCM 기어 위치 스위치 단선,TCM A/T Gear Position Switch Circuit Open,TCM의 자동 변속기 기어 위치 스위치가 단선되었습니다. 주의하십시오.
P1753,ACURA,TCM 자동 변속기 잠금 솔레노이드 밸브 A 결함입니다.,TCM A/T Lockup Solenoid Valve A Fault,밸브A 고장,TCM A/T Lockup Solenoid Valve A Fault,변속기 제어 모듈의 자동 변속기 잠금 솔레노이드 밸브 A가 고장났습니다.
P1758,ACURA,TCM 자동 변속기 잠금 솔레노이드 밸브 B 결함,TCM A/T Lockup Solenoid Valve B Fault,밸브B 고장,TCM A/T Lockup Solenoid Valve B Fault,TCM 자동 변속기 잠금 솔레노이드 밸브 B가 고장났습니다.
P1790,ACURA,TCM 자동 변속기 펌프 압력 센서 회로 결함,TCM A/T TP Sensor Circuit Fault,압력 센서 결함,TCM A/T TP Sensor Circuit Fault,TCM의 자동 변속기 펌프 압력 센서 회로에 문제가 발생했습니다.
P1791,ACURA,TCM 자동 변속기 차량 속도 센서 회로 결함입니다.,TCM A/T Vehicle Speed Sensor Circuit Fault,차량 속도 센서 회로 결함,TCM A/T Vehicle Speed Sensor Circuit Fault,변속기 제어 모듈에센서 자동 변속기의 차량 속도 센서 회로에 문제가 발생했습니다.
P1709,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 문제,Automatic Transmission System Malfunction,운전 중인 차량의 자동 변속기 시스템에센서 문제가 발생했습니다.
P1738,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 문제,Automatic Transmission System Malfunction,운전 중이시라면 자동 변속기의 문제가 발생했습니다.
P1739,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 이상,Automatic Transmission System Malfunction,운전 중이시라면 자동 변속기 시스템이 비정상 작동하고 있다는 안내입니다.
P1768,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 문제,Automatic Transmission System Malfunction,자동 변속기 시스템에센서 문제가 발생했습니다.
P1773,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 문제,Automatic Transmission System Malfunction,자동 변속기 시스템에센서 문제가 발생했습니다.
P1788,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 오류,Automatic Transmission System Malfunction,자동 변속기 시스템에센서 문제가 발생했습니다.
P1793,ACURA,자동 변속기 시스템 오작동,Automatic Transmission System Malfunction,변속기 문제,Automatic Transmission System Malfunction,자동 변속기 시스템에센서 문제가 발생했습니다.
P1795,ACURA,자동 변속기 시스템 오작동입니다.,Automatic Transmission System Malfunction,변속기 고장,Automatic Transmission System Malfunction,자동 변속기 시스템에센서 문제가 발생했습니다.
P0010,AUDI,"파워트레인 제어 모듈(PCM) 고장, 가변 밸브 타이밍 액추에이터 오작동, 배선 문제","Powertrain Control Module (PCM) failure, Variable valve timing actuator failure, Wiring issue",PCM 및 VVT 고장,"Powertrain Control Module (PCM) failure, Variable ...","파워트레인 제어 모듈 PCM이 고장났고, 가변 밸브 타이밍 액추에이터도 문제가 생겼습니다. 또한 배선에도 문제가 있습니다."
P0011,AUDI,캠축 가변 밸브 타이밍 솔레노이드 고장입니다. 엔진 오일 레벨이 부족합니다. 엔진의 타이밍 설정이 올바르지 않습니다. 제조사 요구사항을 충족하지 못하는 엔진 오일이 사용되고 있습니다. 가변 밸브 타이밍 액추에이터 고장입니다. 마모듈된 타이밍 체인입니다.,"Camshaft variable timing solenoid failure, Engine oil level is too low, The engine is not timed correctly, The engine oil does not meet the manufacturer's requirements, Variable valve timing actuator failure, Worn timing chain",캠축 솔레노이드 고장,"Camshaft variable timing solenoid failure, Engine ...",캠축의 가변 밸브 타이밍 솔레노이드가 고장났습니다. 엔진 오일 레벨이 너무 낮아 엔진이 제대로 작동하지 않을 수 있습니다. 엔진의 타이밍 설정이 올바르지 않으니 확인 부탁드립니다. 사용 중인 엔진 오일이 제조사 요구사항을 충족하지 못합니다. 가변 밸브 타이밍 액추에이터가 고장났습니다. 마모듈된 타이밍 체인이 있습니다.
P0012,AUDI,캠축 가변 밸브 타이밍 솔레노이드 고장 발생했습니다. 엔진 오일 레벨이 너무 낮습니다. 엔진의 타이밍이 올바르지 않습니다. 제조사 요구사항을 충족하지 못하는 엔진 오일이 사용되고 있습니다. 가변 밸브 타이밍 액추에이터가 고장났습니다. 타이밍 체인 마모듈로 인해 교체가 필요합니다.,"Camshaft variable timing solenoid failure, Engine oil level is too low, The engine is not timed correctly, The engine oil does not meet the manufacturer's requirements, Variable valve timing actuator failure, Worn timing chain",밸브타이밍 고장,"Camshaft variable timing solenoid failure, Engine ...","캠축 가변 밸브 타이밍 솔레노이드와 액추에이터 모듈두 고장을 입었습니다. 엔진 오일 레벨도 확인하시고, 제조사 요구사항을 충족하는 새로운 오일로 교체해 주세요. 또한 타이밍 체인이 마모듈되어 있음을 주의하세요."
P0013,AUDI,"파워트레인 제어 모듈(PCM) 고장, 가변 밸브 타이밍 액추에이터 고장, 전선 문제 발생했습니다.","Powertrain Control Module (PCM) failure, Variable valve timing actuator failure, Wiring issue",PCM 및 VVT 액추에이터 고장,"Powertrain Control Module (PCM) failure, Variable ...","파워트레인 제어 모듈과 가변 밸브 타이밍 액추에이터가 고장났고, 전선 관련 문제가 있습니다."
P0014,AUDI,캠축 가변 밸브 타이밍 솔레노이드 고장입니다. 엔진 오일 레벨이 너무 낮습니다. 엔진 타이밍이 올바르게 설정되어 있지 않습니다. 제조사 요구 사항에 맞지 않는 엔진 오일을 사용하고 있습니다. 가변 밸브 타이밍 액추에이터 고장입니다. 마모듈된 타이밍 체인입니다.,"Camshaft variable timing solenoid failure, Engine oil level is too low, The engine is not timed correctly, The engine oil does not meet the manufacturer's requirements, Variable valve timing actuator failure, Worn timing chain",캠축 타이밍 문제,"Camshaft variable timing solenoid failure, Engine ...",캠축 가변 밸브 타이밍 솔레노이드가 고장났습니다. 엔진 오일 레벨이 너무 낮아센서 정상 작동이 어렵습니다. 엔진 타이밍도 올바르게 맞춰져 있지 않으니 확인해 주세요. 또한 제조사 요구 사항에 부합하지 않는 엔진 오일을 사용하고 있으므로 교체를 고려해야 합니다. 가변 밸브 타이iming 액추에이터가 고장났습니다. 그리고 타이밍 체인이 마모듈되어 있습니다.
P0101,AUDI,"큰 진공 누출, 흡기 공기 부트나 PVC 호스 분할, 흡기 매니폴드 깔때기 결함, 공기 유닛량(MAF) 센서, MAF 회로 또는 배선 문제, 대기압 센서 결함, 공기 유닛량 센서 와이어 또는 필라멘트 오염 또는 더러움, PCM 소프트웨어 업데이트 필요","Large vacuum leaks, Split Intake Air Boot or PCV Hose, Defective intake manifold gaskets, Mass Airflow Sensor (MAF), Mass Air Flow Sensor circuit and or wiring problems, Defective Barometric Pressure Sensor, Dirty or contaminated Mass Air Flow Sensing wire or filament, PCM software needs to be updated",PCM 소프트웨어 업데이트 필요,"Large vacuum leaks, Split Intake Air Boot or PCV H...","큰 진공 누출이나 흡기 부트 분할 및 PVC 호스 문제, 흡기 매니폴드 깔때기 결함, 공기 유닛량 센서와 그 회로 또는 배선 문제가 발생했으며 대기압 센서가 고장났습니다. 또한 공기 유닛량 센서 와이어나 필라멘트에 오염이나 더러움이 있을 수 있습니다. PCM 소프트웨어 업데이트를 권장드립니다."
P0102,AUDI,"공기 유닛량(MAF) 센서가 연결되지 않았거나 배선이 손상되었을 수 있습니다. 또한 MAF 센서 회로의 전기 단자가 느슨하거나 부식되었을 수도 있으며, MAF 센서 자체에도 문제가 있을 수 있습니다.","The Mass Airflow Sensor (MAF) Sensor is unplugged or the wiring is damaged, Loose or corroded electrical terminals in the MAF Sensor circuit, Faulty MAF Sensor",MAF 센서 이상,The Mass Airflow Sensor (MAF) Sensor is unplugged ...,"공기 유닛량(MAF) 센서가 연결되지 않았거나 배선이 손상되었습니다. 또한 MAF 센서 회로의 전기 단자가 느슨하거나 부식되었을 수도 있으며, MAF 센서 자체에도 문제가 있을 수 있습니다."
P0113,AUDI,"흡기 온도 센서 고장 또는 오염된 에어 필터, 공기 유닛량(MAF) 센서 결함, 흡기 온도(IAT) 센서 회로선이나 연결부 문제로 인해 발생할 수 있습니다.","Defective Intake Air Temperature Sensor, Dirty air filter, Defective Mass Air Flow Sensor, Faulty or corroded Intake Air Temperature Sensor wiring or connections",흡기 온도센서 결함,"Defective Intake Air Temperature Sensor, Dirty air...","흡기 온도 센서가 고장났거나 오염되었거나 에어 필터가 더럽고 공기 유닛량(MAF) 센서도 문제가 있을 수 있으며, 흡기 온도(IAT) 센서의 배선이나 연결부도 이상이 있는 경우입니다."
