Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
06:58:49.437,17,95.0,948.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.555,17,95.0,948.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.645,17,95.0,948.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.735,17,95.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:49.826,17,95.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:49.886,17,95.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:49.946,17,95.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.035,17,95.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.096,17,95.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.186,17,96.0,948.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.276,17,96.0,927.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.336,17,96.0,927.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.425,17,96.0,927.0,0.0,24.0,15.72,83.1,16.0,14.1,14.5
06:58:50.487,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:50.606,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:50.696,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:50.786,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:50.876,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:50.966,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:51.026,17,96.0,927.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:51.086,17,96.0,931.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:51.176,17,96.0,931.0,0.0,24.0,15.49,83.1,16.0,14.1,14.5
06:58:51.265,17,96.0,931.0,0.0,23.0,15.49,83.1,16.0,14.1,14.5
06:58:51.356,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.416,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.505,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.596,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.687,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.776,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.866,17,96.0,931.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:51.926,17,96.0,961.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:52.015,17,96.0,961.0,0.0,23.0,15.72,83.1,16.0,14.1,14.5
06:58:52.105,17,96.0,961.0,0.0,22.0,15.72,83.1,16.0,14.1,14.5
06:58:52.195,17,96.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.285,17,96.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.377,17,96.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.466,17,96.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.585,17,96.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.677,17,96.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.795,17,97.0,961.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.885,17,97.0,939.0,0.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:52.976,17,97.0,939.0,1.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:53.065,17,97.0,939.0,1.0,22.0,16.02,83.1,16.0,14.1,14.5
06:58:53.215,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.306,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.395,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.486,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.576,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.666,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.756,17,97.0,939.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.845,17,97.0,984.0,1.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:53.936,17,97.0,984.0,2.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:54.025,17,97.0,984.0,2.0,22.0,15.94,83.1,16.0,14.1,14.5
06:58:54.177,17,97.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.296,17,97.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.385,17,97.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.475,17,97.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.596,17,97.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.685,17,97.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.776,17,98.0,984.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.866,17,98.0,944.0,2.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:54.956,17,98.0,944.0,1.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:55.046,17,98.0,944.0,1.0,22.0,17.02,83.1,16.0,14.1,14.5
06:58:55.135,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.226,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.316,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.406,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.496,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.586,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.676,17,98.0,944.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.767,17,98.0,952.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.856,17,98.0,952.0,1.0,22.0,16.13,83.1,16.0,14.1,14.5
06:58:55.945,17,98.0,952.0,1.0,21.0,16.13,83.1,16.0,14.1,14.5
06:58:56.035,17,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.125,17,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.245,17,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.335,17,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.425,17,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.546,18,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.635,18,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.726,18,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.816,18,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.906,18,98.0,952.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:56.996,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.085,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.176,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.266,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.355,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.447,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.535,18,98.0,952.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.685,18,98.0,956.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.776,18,98.0,956.0,1.0,21.0,16.52,83.1,16.0,14.1,14.5
06:58:57.866,18,98.0,956.0,1.0,20.0,16.52,83.1,16.0,14.1,14.5
06:58:57.956,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.046,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.135,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.225,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.345,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.435,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.556,18,98.0,956.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.645,18,98.0,934.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.735,18,98.0,934.0,1.0,20.0,16.49,83.1,16.0,14.1,14.5
06:58:58.825,18,98.0,934.0,1.0,21.0,16.49,83.1,16.0,14.1,14.5
06:58:58.915,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.005,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.095,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.185,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.276,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.365,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.455,18,98.0,934.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.547,18,98.0,981.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.635,18,98.0,981.0,1.0,21.0,16.02,83.1,16.0,14.1,14.5
06:58:59.726,18,98.0,981.0,1.0,20.0,16.02,83.1,16.0,14.1,14.5
06:58:59.817,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.1,14.5
06:58:59.905,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.1,14.5
06:58:59.996,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.1,14.5
06:59:00.085,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.176,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.267,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.356,18,98.0,981.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.446,18,98.0,940.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.535,18,98.0,940.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.625,18,98.0,940.0,1.0,20.0,16.83,83.1,16.0,14.9,14.5
06:59:00.715,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.9,14.5
06:59:00.805,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.9,14.5
06:59:00.896,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.9,14.5
06:59:00.986,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.076,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.166,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.255,18,98.0,940.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.345,18,98.0,915.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.435,18,98.0,915.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.526,18,98.0,915.0,1.0,20.0,16.08,83.1,16.0,14.5,14.5
06:59:01.615,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.5,14.5
06:59:01.706,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.5,14.5
06:59:01.795,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.5,14.5
06:59:01.885,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.1,14.5
06:59:01.976,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.1,14.5
06:59:02.065,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.1,14.5
06:59:02.185,18,98.0,915.0,1.0,20.0,15.69,83.1,16.0,14.1,14.5
06:59:02.276,18,98.0,909.0,1.0,20.0,15.69,83.1,16.0,14.1,14.5
06:59:02.365,18,98.0,909.0,3.0,20.0,15.69,83.1,16.0,14.1,14.5
06:59:02.455,18,98.0,909.0,3.0,19.0,15.69,83.1,16.0,14.1,14.5
06:59:02.546,18,98.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:02.635,18,98.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:02.726,18,98.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:02.815,18,98.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:02.906,18,98.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:02.996,18,98.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:03.085,18,99.0,909.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:03.176,18,99.0,905.0,3.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:03.266,18,99.0,905.0,6.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:03.356,18,99.0,905.0,6.0,19.0,15.63,83.1,16.0,14.1,14.5
06:59:03.445,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.1,14.5
06:59:03.536,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.1,14.5
06:59:03.626,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.1,14.5
06:59:03.715,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.9,14.5
06:59:03.806,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.9,15.3
06:59:03.896,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.9,15.3
06:59:03.986,18,99.0,905.0,6.0,19.0,15.47,83.1,16.0,14.9,15.3
06:59:04.076,18,99.0,1015.0,6.0,19.0,15.47,83.1,16.0,14.9,15.3
06:59:04.165,18,99.0,1015.0,9.0,19.0,15.47,83.1,16.0,14.9,15.3
06:59:04.256,18,99.0,1015.0,9.0,19.0,15.47,83.1,16.0,14.9,15.3
06:59:04.346,18,99.0,1015.0,9.0,19.0,19.77,83.1,16.0,14.9,15.3
06:59:04.436,18,99.0,1015.0,9.0,19.0,19.77,83.1,16.0,14.9,15.3
06:59:04.526,18,99.0,1015.0,9.0,19.0,19.77,83.1,16.0,14.9,15.3
06:59:04.645,18,99.0,1015.0,9.0,19.0,19.77,83.1,16.0,26.7,15.3
06:59:04.735,18,99.0,1015.0,9.0,19.0,19.77,83.1,16.0,26.7,27.5
06:59:04.825,18,99.0,1015.0,9.0,19.0,19.77,83.1,16.0,26.7,27.5
06:59:04.915,18,100.0,1015.0,9.0,19.0,19.77,83.1,16.0,26.7,27.5
06:59:05.005,18,100.0,1377.0,9.0,19.0,19.77,83.1,16.0,26.7,27.5
06:59:05.095,18,100.0,1377.0,12.0,19.0,19.77,83.1,16.0,26.7,27.5
06:59:05.185,18,100.0,1377.0,12.0,21.0,19.77,83.1,16.0,26.7,27.5
06:59:05.276,18,100.0,1377.0,12.0,21.0,26.41,83.1,16.0,26.7,27.5
06:59:05.367,18,100.0,1377.0,12.0,21.0,26.41,83.1,16.0,26.7,27.5
06:59:05.456,18,100.0,1377.0,12.0,21.0,26.41,83.1,16.0,26.7,27.5
06:59:05.545,18,100.0,1377.0,12.0,21.0,26.41,83.1,16.0,29.4,27.5
06:59:05.636,18,100.0,1377.0,12.0,21.0,26.41,83.1,16.0,29.4,29.4
06:59:05.726,18,100.0,1377.0,12.0,21.0,26.41,83.1,16.0,29.4,29.4
06:59:05.817,18,101.0,1377.0,12.0,21.0,26.41,83.1,16.0,29.4,29.4
06:59:05.907,18,101.0,1566.0,12.0,21.0,26.41,83.1,16.0,29.4,29.4
06:59:05.995,18,101.0,1566.0,14.0,21.0,26.41,83.1,16.0,29.4,29.4
06:59:06.085,18,101.0,1566.0,14.0,22.0,26.41,83.1,16.0,29.4,29.4
06:59:06.176,18,101.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.4,29.4
06:59:06.266,18,101.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.4,29.4
06:59:06.355,18,101.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.4,29.4
06:59:06.446,18,101.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:06.596,18,101.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:06.686,18,101.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:06.776,18,98.0,1566.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:06.866,18,98.0,1603.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:06.955,18,98.0,1603.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:07.045,18,98.0,1603.0,14.0,22.0,28.8,83.1,16.0,29.0,29.4
06:59:07.135,18,98.0,1603.0,14.0,22.0,28.49,83.1,16.0,29.0,29.4
06:59:07.256,18,98.0,1603.0,14.0,22.0,28.49,83.1,16.0,29.0,29.4
06:59:07.346,18,98.0,1603.0,14.0,22.0,28.49,83.1,16.0,29.0,29.4
06:59:07.435,18,98.0,1603.0,14.0,22.0,28.49,83.1,16.0,28.6,29.4
