rpm,speed,temp,load,voltage,map,maf,intake_temp,throttle,fuel_trim_short,fuel_trim_long,engine_runtime,dtcs
730,0,58.9,17,14.1,30,4.0,26,0,0,1,62,
734,0,59.5,17,14.3,32,3.9,28,0,0,1,63,
738,0,58.5,19,14.2,29,3.6,30,0,2,3,63,
739,0,58.4,19,13.9,28,3.9,25,0,2,-2,64,
743,0,59.0,21,14.1,30,4.2,27,0,-1,0,64,
747,0,59.5,15,14.2,32,3.5,29,0,-1,0,65,
748,0,59.5,17,14.4,31,3.8,28,0,1,2,65,
752,0,58.5,17,13.9,28,4.1,26,0,1,2,66,
754,0,58.7,18,14.0,28,3.5,26,0,2,-2,66,
758,0,59.2,20,14.1,30,3.8,28,0,-1,0,67,
762,0,59.8,20,14.3,32,4.1,30,0,-1,0,67,
763,0,59.8,16,14.0,31,3.8,25,0,1,2,68,
767,0,58.8,16,14.2,28,3.7,27,0,1,2,68,
771,0,59.3,18,14.1,30,4.0,29,0,3,-1,69,
772,0,59.3,18,14.2,29,3.7,28,0,-2,-1,69,
776,0,59.9,20,14.0,31,4.0,26,0,0,1,70,
780,0,60.4,20,14.1,33,3.9,28,0,0,1,70,
781,0,58.8,16,14.3,27,3.6,27,0,2,3,71,
785,0,59.4,16,14.2,29,3.9,29,0,2,-2,71,
787,0,59.5,17,13.9,29,3.9,25,0,-2,-1,72,
791,0,60.1,19,14.0,31,3.6,27,0,0,1,72,
795,0,60.6,19,14.2,33,3.9,29,0,0,1,73,
796,0,59.1,21,14.3,27,4.2,28,0,2,3,73,
692,0,59.6,15,14.1,29,3.5,26,0,2,-2,74,
693,0,59.6,16,13.9,29,3.6,27,0,2,3,74,
694,0,59.5,16,14.0,28,3.9,26,0,2,-2,75,
698,0,60.1,18,14.2,30,4.2,28,0,-1,0,75,
702,0,60.6,18,14.3,32,3.5,30,0,-1,0,76,
703,0,60.6,20,14.1,31,3.8,25,0,1,2,76,
707,0,59.6,20,14.0,28,4.1,27,0,1,2,77,
709,0,59.8,15,14.1,28,3.5,27,0,2,-2,77,
713,0,60.4,17,14.2,30,3.8,29,0,-1,0,78,
717,0,60.9,17,14.0,32,4.1,27,0,-1,0,78,
718,0,60.9,19,14.1,31,3.8,26,0,1,2,79,
722,0,59.9,19,14.3,28,3.7,28,0,1,2,79,
726,0,60.4,21,14.2,30,4.0,30,0,3,-1,80,
727,0,60.4,15,13.9,29,3.7,25,0,-2,-1,80,
731,0,60.9,17,14.1,31,4.0,27,0,0,1,81,
735,0,61.5,17,14.2,33,3.9,29,0,0,1,81,
736,0,59.9,19,14.4,27,3.6,28,0,2,3,82,
740,0,60.5,19,13.9,29,3.9,26,0,2,-2,82,
742,0,60.6,20,14.0,29,3.9,26,0,-2,-1,83,
746,0,61.2,16,14.1,31,3.6,28,0,0,1,83,
750,0,61.8,16,14.3,33,3.9,30,0,0,1,84,
751,0,60.2,18,14.0,27,4.2,25,0,2,3,84,
755,0,60.8,18,14.2,29,3.5,27,0,2,-2,85,
759,0,61.3,20,14.1,31,3.8,29,0,-1,0,85,
760,0,61.2,20,14.2,30,4.1,28,0,-1,0,86,
764,0,61.8,16,14.0,32,3.8,26,0,1,2,86,
768,0,60.8,16,14.1,29,3.7,28,0,1,2,87,
769,0,60.8,18,14.3,28,4.0,27,0,3,-1,87,
773,0,61.4,18,14.2,30,3.7,29,0,-2,-1,88,
775,0,61.5,19,13.9,30,3.7,25,0,-1,0,88,
779,0,62.1,21,14.0,32,4.0,27,0,1,2,89,
783,0,61.1,15,14.2,29,3.7,29,0,1,2,89,
784,0,61.0,17,14.3,28,4.0,28,0,3,-1,90,
788,0,61.6,17,14.1,30,3.9,26,0,-2,-1,90,
792,0,62.1,19,14.0,32,3.6,28,0,0,1,91,
793,0,62.1,19,14.1,31,3.9,27,0,0,1,91,
797,0,61.1,21,14.3,28,4.2,29,0,2,3,92,
693,0,61.7,15,14.0,30,3.5,27,0,2,-2,92,
691,0,61.0,16,14.1,27,3.6,25,0,2,3,93,
695,0,61.6,16,14.0,29,3.9,27,0,2,-2,93,
697,0,61.8,17,14.1,29,3.9,27,0,-2,-1,94,
701,0,62.3,19,14.2,31,3.6,29,0,0,1,94,
705,0,62.9,19,14.0,33,3.9,27,0,0,1,95,
706,0,61.3,21,14.1,27,4.2,26,0,2,3,95,
710,0,61.8,15,14.3,29,3.5,28,0,2,-2,96,
714,0,62.4,17,14.2,31,3.8,30,0,-1,0,96,
715,0,62.3,17,13.9,30,4.1,25,0,-1,0,97,
719,0,62.9,19,14.1,32,3.8,27,0,1,2,97,
723,0,61.9,19,14.2,29,3.7,29,0,1,2,98,
724,0,61.9,21,14.4,28,4.0,28,0,3,-1,98,
728,0,62.5,15,13.9,30,3.7,26,0,-2,-1,99,
730,0,62.6,16,14.0,30,3.7,26,0,-1,0,99,
734,0,63.2,18,14.1,32,4.0,28,0,1,2,100,
738,0,62.2,18,14.3,29,3.7,30,0,1,2,100,
739,0,62.1,20,14.0,28,4.0,25,0,3,-1,101,
743,0,62.7,20,14.2,30,3.9,27,0,-2,-1,101,
747,0,63.2,16,14.1,32,3.6,29,0,0,1,102,
748,0,63.2,16,14.2,31,3.9,28,0,0,1,102,
752,0,62.2,18,14.0,28,4.2,26,0,2,3,103,
756,0,62.8,18,14.1,30,3.5,28,0,2,-2,103,
757,0,62.8,20,14.3,29,3.8,27,0,-1,0,104,
761,0,63.3,20,14.2,31,4.1,29,0,-1,0,104,
763,0,63.5,15,13.9,31,3.5,25,0,0,1,105,
767,0,62.5,17,14.0,28,3.8,27,0,2,3,105,
771,0,63.0,17,14.2,30,4.1,29,0,2,-2,106,
772,0,63.0,19,14.3,29,3.8,28,0,-1,0,106,
776,0,63.5,19,14.1,31,3.7,26,0,-1,0,107,
780,0,64.1,21,14.0,33,4.0,28,0,1,2,107,
781,0,62.5,15,14.1,27,3.7,27,0,1,2,108,
785,0,63.1,17,14.3,29,4.0,29,0,3,-1,108,
789,0,63.6,17,14.0,31,3.9,27,0,-2,-1,109,
790,0,63.6,19,14.2,30,3.6,26,0,0,1,109,
794,0,64.2,19,14.1,32,3.9,28,0,0,1,110,
796,0,62.8,20,14.2,27,3.9,28,0,1,2,110,
692,0,63.3,16,13.9,29,3.6,26,0,3,-1,111,
693,0,63.3,15,14.0,29,3.7,27,0,1,2,111,
694,0,63.2,17,14.1,28,4.0,26,0,3,-1,112,
698,0,63.8,17,14.3,30,3.9,28,0,-2,-1,112,
702,0,64.4,19,14.2,32,3.6,30,0,0,1,113,
703,0,64.3,19,13.9,31,3.9,25,0,0,1,113,
707,0,63.4,21,14.1,28,4.2,27,0,2,3,114,
711,0,63.9,15,14.2,30,3.5,29,0,2,-2,114,
712,0,63.8,17,14.4,29,3.8,28,0,-1,0,115,
716,0,64.4,17,13.9,31,4.1,26,0,-1,0,115,
718,0,64.5,18,14.0,31,3.5,26,0,0,1,116,
722,0,63.6,20,14.1,28,3.8,28,0,2,3,116,
726,0,64.1,20,14.3,30,4.1,30,0,2,-2,117,
727,0,64.1,16,14.0,29,3.8,25,0,-1,0,117,
731,0,64.7,16,14.2,31,3.7,27,0,-1,0,118,
735,0,65.2,18,14.1,33,4.0,29,0,1,2,118,
736,0,63.6,18,14.2,27,3.7,28,0,1,2,119,
740,0,64.2,20,14.0,29,4.0,26,0,3,-1,119,
744,0,64.8,20,14.1,31,3.9,28,0,-2,-1,120,
925,1.0,85.6,18.1,13.9,32,4.1,27,12.6,2,-2,120,
958,2.0,86.3,21.2,14.1,35,4.5,29,15.8,-1,0,121,
990,3.0,87.0,24.3,14.2,35,4.9,31,18.9,-1,0,121,
1021,4.0,87.7,24.3,14.0,35,5.0,33,18.9,1,1,122,
1050,5.0,88.4,23.4,14.1,36,5.1,31,19.9,1,3,122,
1064,6.0,88.1,26.4,14.2,37,5.5,28,22.8,3,-2,123,
1090,7.0,88.8,26.4,14.1,37,5.6,30,22.7,-2,-1,123,
1108,8.0,86.0,29.4,14.0,37,5.9,32,25.4,0,1,124,
1130,9.0,86.7,28.3,14.2,40,6.1,30,26.0,0,1,124,
1151,10.0,87.4,28.2,14.0,38,6.2,32,25.5,2,2,125,
1156,11.0,87.1,31.1,14.1,39,6.5,29,27.9,2,-1,125,
1173,12.0,87.8,33.9,14.2,42,6.9,31,30.1,-1,-1,126,
1189,13.0,88.5,29.6,14.0,39,6.8,29,27.3,-1,0,126,
1204,14.0,89.2,32.3,14.2,42,7.1,31,29.2,1,2,127,
1211,15.0,86.4,35.0,14.1,43,7.5,33,31.1,1,2,127,
1210,16.0,86.1,34.6,14.0,41,7.6,30,29.8,3,-2,128,
1223,17.0,86.8,33.2,14.1,44,7.8,28,29.5,-2,0,128,
1236,18.0,87.5,35.7,14.2,44,8.1,30,31.0,0,0,129,
1249,19.0,88.2,35.1,14.0,44,8.2,32,29.4,0,1,129,
1263,20.0,88.9,37.5,14.1,45,8.6,34,30.7,2,3,130,
1263,21.0,88.6,35.9,14.3,46,8.7,27,29.9,2,-2,130,
1271,22.0,85.8,35.2,13.9,46,8.8,29,28.0,-1,-1,131,
1288,23.0,86.5,37.5,14.1,46,9.2,31,29.1,-1,1,131,
1306,24.0,87.2,39.8,14.2,49,9.6,33,30.2,1,1,132,
1324,25.0,87.9,35.0,14.0,47,9.4,31,26.2,1,2,132,
1329,26.0,87.6,37.2,14.1,48,9.8,28,27.2,3,-1,133,
1350,27.0,88.3,39.3,14.2,51,10.2,30,28.2,-2,-1,133,
1372,28.0,89.0,38.5,14.1,48,10.2,32,26.2,0,0,134,
1388,29.0,86.2,36.6,14.0,51,10.4,30,25.3,0,2,134,
1411,30.0,86.9,38.7,14.2,52,10.8,32,26.4,2,2,135,
1418,31.0,86.6,37.8,14.0,50,10.8,29,24.6,2,-2,135,
1441,32.0,87.3,39.9,14.1,53,11.2,31,25.8,-1,0,136,
1463,33.0,88.0,38.0,14.2,53,11.4,29,25.2,-1,0,136,
1485,34.0,88.7,37.1,14.0,53,11.5,31,23.6,1,1,137,
1505,35.0,89.4,39.2,14.2,54,11.8,33,25.1,1,3,137,
1502,36.0,85.6,41.4,14.1,55,12.2,30,26.8,3,-2,138,
1520,37.0,86.3,36.6,14.0,55,12.1,28,23.5,-2,-1,138,
1536,38.0,87.0,38.7,14.1,55,12.4,30,25.4,0,1,139,
1551,39.0,87.7,41.0,14.2,58,12.8,32,27.4,0,1,139,
1563,40.0,88.4,40.2,14.0,56,12.9,34,26.5,2,2,140,
1559,41.0,88.1,38.5,14.1,57,13.0,27,26.7,2,-1,140,
1569,42.0,88.8,40.8,14.3,60,13.4,29,29.0,-1,-1,141,
1570,43.0,86.0,40.2,13.9,57,13.5,31,28.4,-1,0,141,
1577,44.0,86.7,42.6,14.1,60,13.8,33,30.9,1,2,142,
1583,45.0,87.4,41.1,14.2,61,14.0,31,31.5,1,2,142,
1574,46.0,87.1,40.6,14.0,59,14.1,28,31.1,3,-2,143,
1580,47.0,87.8,43.2,14.1,62,14.5,30,33.8,-2,0,143,
1585,48.0,88.5,45.8,14.2,62,14.8,32,36.6,0,0,144,
1591,49.0,89.2,41.5,14.1,62,14.7,30,34.3,0,1,144,
1591,50.0,86.4,44.2,14.0,63,15.1,32,37.1,2,3,145,
1577,50.5,86.1,46.7,14.2,64,15.3,29,39.7,2,-2,145,
1578,51.0,86.8,46.2,14.0,63,15.3,31,39.2,-1,-1,146,
1581,51.5,87.5,44.7,14.1,63,15.3,29,39.7,-1,1,146,
1585,51.8,88.2,47.2,14.2,66,15.6,31,42.1,1,1,147,
1590,52.2,88.9,46.8,14.0,63,15.5,33,41.5,1,2,147,
1580,52.4,88.6,49.3,14.2,64,15.7,30,43.7,3,-1,148,
1579,52.6,85.8,47.8,14.1,66,15.7,28,43.8,-2,-1,148,
1585,52.6,86.5,47.3,14.0,63,15.5,30,42.7,0,0,149,
1592,52.6,87.2,49.7,14.1,65,15.7,32,44.5,0,2,149,
1599,52.5,87.9,52.1,14.2,65,15.8,34,46.2,2,2,150,
1591,52.3,87.6,47.5,14.0,63,15.4,27,42.7,2,-2,150,
1598,52.0,88.3,49.8,14.1,65,15.5,29,44.0,-1,0,151,
1605,51.7,89.0,52.1,14.3,65,15.6,31,45.2,-1,0,151,
1605,51.3,86.2,51.4,13.9,63,15.4,33,43.3,1,1,152,
1612,51.0,86.9,49.6,14.1,63,15.2,31,42.2,1,3,152,
1603,50.6,86.6,51.9,14.2,64,15.3,28,43.0,3,-2,153,
1609,50.2,87.3,51.1,14.0,63,15.1,30,40.7,-2,-1,153,
1614,49.8,88.0,53.4,14.1,62,15.1,32,41.3,0,1,154,
1619,49.5,88.7,51.6,14.2,64,15.0,30,39.8,0,1,154,
1624,49.2,89.4,50.8,14.1,61,14.8,32,37.2,2,2,155,
1606,49.0,85.6,53.0,14.0,62,14.9,29,37.6,2,-1,155,
1610,48.8,86.3,55.3,14.2,64,15.0,31,38.0,-1,-1,156,
1613,48.7,87.0,50.5,14.0,61,14.6,29,33.3,-1,0,156,
1616,48.6,87.7,52.7,14.1,63,14.8,31,33.6,1,2,157,
1618,48.6,88.4,54.8,14.2,63,14.9,33,34.0,1,2,157,
1605,48.6,88.1,54.0,14.0,61,14.8,30,31.3,3,-2,158,
1607,48.6,88.8,52.1,14.2,63,14.7,28,29.7,-2,0,158,
1603,48.6,86.0,54.2,14.1,63,14.9,30,30.1,0,0,159,
1605,48.7,86.7,53.2,14.0,62,14.7,32,27.5,0,1,159,
1608,48.8,87.4,55.2,14.1,62,14.9,34,28.1,2,3,160,
1596,48.8,87.1,53.1,14.2,63,14.9,27,26.7,2,-2,160,
1601,48.9,87.8,52.0,14.0,62,14.7,29,24.3,-1,-1,161,
1606,49.0,88.5,53.9,14.1,62,14.9,31,25.1,-1,1,161,
1613,49.0,89.2,55.7,14.3,64,15.1,33,26.0,1,1,162,
1614,49.1,86.4,50.4,13.9,61,14.7,31,22.1,1,2,162,
1608,49.2,86.1,52.2,14.1,62,14.9,28,23.2,3,-1,163,
1619,49.2,86.8,53.9,14.2,64,15.1,30,24.5,-2,-1,163,
1632,49.3,87.5,52.5,14.0,61,14.9,32,22.9,0,0,164,
1647,49.4,88.2,50.2,14.1,63,14.9,30,22.4,0,2,164,
1663,49.6,88.9,51.8,14.2,63,15.1,32,24.2,2,2,165,
1665,49.7,88.6,50.4,14.1,61,15.0,29,23.0,2,-2,165,
1677,49.9,85.8,52.1,14.0,63,15.2,31,25.0,-1,0,166,
1697,50.1,86.5,49.7,14.2,64,15.1,29,25.1,-1,0,166,
1717,50.4,87.2,48.3,14.0,63,15.1,31,24.3,1,1,167,
1737,50.6,87.9,50.0,14.1,63,15.3,33,26.7,1,3,167,
1741,50.9,87.6,51.7,14.2,64,15.5,30,29.1,3,-2,168,
1760,51.2,88.3,46.4,14.0,63,15.2,28,26.7,-2,-1,168,
1778,51.5,89.0,48.1,14.2,63,15.4,30,29.2,0,1,169,
1787,51.7,86.2,49.7,14.1,66,15.6,32,31.9,0,1,169,
1800,51.9,86.9,48.4,14.0,63,15.5,34,31.5,2,2,170,
1796,52.1,86.6,46.1,14.1,64,15.5,27,32.1,2,-1,170,
1804,52.2,87.3,47.8,14.2,66,15.7,29,34.8,-1,-1,171,
1810,52.3,88.0,46.5,14.0,63,15.5,31,34.3,-1,0,171,
1811,52.3,88.7,48.2,14.1,65,15.7,33,36.8,1,2,172,
1810,52.2,89.4,45.9,14.3,65,15.6,31,37.3,1,2,172,
1784,52.0,85.6,44.6,13.9,63,15.4,28,36.6,3,-2,173,
1777,51.7,86.3,46.2,14.1,65,15.5,30,38.8,-2,0,173,
1768,51.4,87.0,47.9,14.2,64,15.6,32,41.0,0,0,174,
1757,51.0,87.7,42.6,14.0,63,15.1,30,37.9,0,1,174,
1736,50.0,88.4,44.0,14.1,63,15.1,32,39.6,2,3,175,
1689,48.3,88.1,45.0,14.2,63,14.9,29,40.8,2,-2,175,
1658,46.7,88.8,43.1,14.1,60,14.3,31,38.9,-1,-1,176,
1620,45.0,86.0,40.2,14.0,60,13.9,29,37.9,-1,1,176,
1589,43.3,86.7,41.4,14.2,61,13.7,31,38.7,1,1,177,
1559,41.7,87.4,39.6,14.0,57,13.2,33,36.5,1,2,177,
1515,40.0,87.1,40.9,14.1,57,13.0,30,37.1,3,-1,178,
1487,38.3,87.8,38.2,14.2,57,12.6,28,35.6,-2,-1,178,
1461,36.7,88.5,36.5,14.0,54,12.0,30,33.0,0,0,179,
1436,35.0,89.2,37.9,14.2,55,11.8,32,33.4,0,2,179,
1405,33.3,86.4,39.3,14.1,54,11.6,34,33.6,2,2,180,
1368,31.7,86.1,33.8,14.0,50,10.9,27,28.7,2,-2,180,
1346,30.0,86.8,35.2,14.1,52,10.7,29,28.8,-1,0,181,
1326,28.3,87.5,36.7,14.2,51,10.5,31,28.8,-1,0,181,
1306,26.7,88.2,35.2,14.0,49,9.9,33,25.8,1,1,182,
1287,25.0,88.9,32.7,14.1,48,9.5,31,23.8,1,3,182,
1253,23.3,88.6,34.2,14.3,47,9.3,28,23.7,3,-2,183,
1227,21.7,85.8,32.7,13.9,46,8.8,30,20.7,-2,-1,183,
1208,20.0,86.5,34.2,14.1,45,8.6,32,20.7,0,1,184,
1187,18.3,87.2,31.6,14.2,46,8.2,30,18.7,0,1,184,
1166,16.7,87.9,30.1,14.0,42,7.6,32,15.7,2,2,185,
1129,15.0,87.6,31.5,14.1,42,7.4,29,15.9,2,-1,185,
1106,13.3,88.3,33.0,14.2,43,7.2,31,16.1,-1,-1,186,
1081,11.7,89.0,27.3,14.1,38,6.5,29,11.3,-1,0,186,
1048,10.0,86.2,28.7,14.0,39,6.3,31,11.7,1,2,187,
1021,8.3,86.9,30.0,14.2,38,6.1,33,12.2,1,2,187,
978,6.7,86.6,28.3,14.0,35,5.5,30,9.8,3,-2,188,
948,5.0,87.3,25.5,14.1,36,5.1,28,8.5,-2,0,188,
918,3.3,88.0,26.7,14.2,35,4.9,30,9.3,0,0,189,
886,1.7,88.7,24.9,14.0,33,4.4,32,8.0,0,1,189,
855,0.0,89.4,26.0,14.2,33,4.2,34,8.3,2,3,190,
790,0,88.7,18,14.0,30,3.5,26,0,-1,0,190,
794,0,89.2,20,14.1,32,3.8,28,0,1,2,191,
798,0,88.2,20,14.3,29,4.1,30,0,1,2,191,
691,0,88.1,16,14.0,28,3.8,25,0,3,-1,192,
692,0,88.0,15,14.1,28,3.5,26,0,1,2,192,
696,0,88.5,17,14.0,30,3.8,28,0,3,-1,193,
697,0,88.4,17,14.1,29,4.1,27,0,-2,-1,193,
701,0,88.9,19,14.3,31,3.8,29,0,0,1,194,
705,0,89.4,19,14.0,33,3.7,27,0,0,1,194,
706,0,87.8,21,14.2,27,4.0,26,0,2,3,195,
710,0,88.3,15,14.1,29,3.7,28,0,2,-2,195,
712,0,88.4,16,14.2,29,3.7,28,0,-2,-1,196,
716,0,88.9,18,13.9,31,4.0,26,0,0,1,196,
720,0,89.4,18,14.1,33,3.7,28,0,0,1,197,
721,0,87.8,20,14.2,27,4.0,27,0,2,3,197,
725,0,88.3,20,14.4,29,3.9,29,0,2,-2,198,
729,0,88.8,16,13.9,31,3.6,27,0,-1,0,198,
730,0,88.7,16,14.0,30,3.9,26,0,-1,0,199,
734,0,89.2,18,14.2,32,4.2,28,0,1,2,199,
738,0,88.2,18,14.3,29,3.5,30,0,1,2,200,
739,0,88.1,20,14.1,28,3.8,25,0,3,-1,200,
743,0,88.6,20,14.0,30,4.1,27,0,-2,-1,201,
745,0,88.7,15,14.1,30,3.5,27,0,-1,0,201,
749,0,89.2,17,14.2,32,3.8,29,0,1,2,202,
753,0,88.2,17,14.0,29,4.1,27,0,1,2,202,
754,0,88.1,19,14.1,28,3.8,26,0,3,-1,203,
758,0,88.6,19,14.3,30,3.7,28,0,-2,-1,203,
762,0,89.1,21,14.2,32,4.0,30,0,0,1,204,
